# T1 rows from vendor ingest | source: vendor_teaser_demo.xlsx | 16 July 2026
# metric_code	segment	case_id	year	value	unit	temporality	driver_type	step_date	step_value	repeat_years	source
V001	total	1	2022	38.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 5
V001	total	1	2023	41.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 5
V002	total	1	2022	12.4	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 6
V002	total	1	2023	13.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 6
V003	total	1	2022	9.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 7
V003	total	1	2023	9.8	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 7
V004	total	1	2022	3.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 8
V004	total	1	2023	3.4	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 8
V005	total	1	2022	11.8	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 9
V005	total	1	2023	12.9	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 9
V006	total	1	2022	3.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 10
V006	total	1	2023	3.4	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 10
V007	total	1	2022	4.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 11
V007	total	1	2023	4.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 11
V008	total	1	2022	5.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 12
V008	total	1	2023	5.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 12
V009	total	1	2022	0.8	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 13
V009	total	1	2023	0.9	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 13
V010	total	1	2022	1.4	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 14
V010	total	1	2023	1.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 14
V011	total	1	2022	-20.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 17
V011	total	1	2023	-21.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 17
V012	total	1	2022	-4.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 18
V012	total	1	2023	-4.4	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 18
V013	total	1	2022	-3.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 19
V013	total	1	2023	-3.7	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 19
V014	total	1	2022	-1.1	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 20
V014	total	1	2023	-1.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 20
V015	total	1	2022	-0.7	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 21
V015	total	1	2023	-0.8	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 21
V016	total	1	2022	-1.5	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 22
V016	total	1	2023	-1.6	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 22
V017	total	1	2022	-0.9	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 23
V017	total	1	2023	-1.0	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 23
V018	total	1	2022	-2.2	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 24
V018	total	1	2023	-2.3	EUR m	actual	level				vendor_teaser_demo.xlsx, sheet P&L Summary, row 24
