# T1 actual rows keyed on line_id (schema 11 v1.1: T1 keys on line_id, taxonomy attaches via T6) | demo, illustrative
# line_id	segment	case_id	year	value	unit	temporality	driver_type	step_date	step_value	repeat_years	source
V100	total	1	2022	11.8	EUR m	actual	level				demo vendor P&L, illustrative
V100	total	1	2023	12.9	EUR m	actual	level				demo vendor P&L, illustrative
V200	total	1	2022	15.2	EUR m	actual	level				demo vendor P&L, illustrative
V200	total	1	2023	16.0	EUR m	actual	level				demo vendor P&L, illustrative
V201	total	1	2022	3.4	EUR m	actual	level				demo vendor P&L, illustrative
V201	total	1	2023	3.6	EUR m	actual	level				demo vendor P&L, illustrative
V202	total	1	2022	1.5	EUR m	actual	level				demo vendor P&L, illustrative
V202	total	1	2023	1.6	EUR m	actual	level				demo vendor P&L, illustrative
V300	total	1	2022	4.1	EUR m	actual	level				demo vendor P&L, illustrative
V300	total	1	2023	4.5	EUR m	actual	level				demo vendor P&L, illustrative
